reference_number,watch_url,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_url,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description
101.063,https://watchbase.com/a-lange-sohne/lange-1/101-063,,A. Lange & Söhne,2014.0,Lange 1,Lange 1 20th Anniversary White Gold,Lange 1 20th Anniversary White Gold,Lange 1 20th Anniversary White Gold,,USD,,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/101-063-98.jpg,,Round,White Gold,,Transparent,38.50 mm,20.00 mm,,10.00 mm,,,Sapphire,,,Blue,Mixed,,,,,L901.0,,,,"Hours, Minutes, Small Seconds, Big Date, Power Reserve Indication, Transparent Caseback, Minute Repeater",The ref. 101.063 Lange 1 was introduced in 2014 as part of a total of 5 sets of 20th Anniversary models. It features a white gold case and a blue guilloche dial made of solid gold. It was only sold in a set with the ref. 811.063 Kleine Lange 1.,
811.062,https://watchbase.com/a-lange-sohne/lange-1/811-062,,A. Lange & Söhne,2014.0,Lange 1,Kleine Lange 1 20th Anniversary Platinum / Black,Kleine Lange 1 20th Anniversary Platinum / Black,Kleine Lange 1 20th Anniversary Platinum / Black,,USD,,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/811-062-12.jpg,,Round,Platinum,,Transparent,36.10 mm,19.00 mm,,10.00 mm,,,Sapphire,,,Black,Mixed,,,,,L901.0,,,,"Hours, Minutes, Small Seconds, Big Date, Power Reserve Indication, Transparent Caseback","In celebration of the 20th anniversary of the Lange 1, A. Lange & Söhne created 5 sets of special Lange 1 & Kleine Lange 1 models. The ref. 811.062 has a platinum case, a diamond-set bezel and a black dial made of solid gold. It pairs with the ref. 101.062 Lange 1.",
142.031,https://watchbase.com/a-lange-sohne/zeitwerk/142-031,,A. Lange & Söhne,2022.0,Zeitwerk,Zeitwerk Pink Gold / Black,Zeitwerk Pink Gold / Black,,,USD,,https://cdn.watchbase.com/watch/lg/a-lange-sohne/zeitwerk/142-031-85.jpg,,Round,Rose Gold,,Transparent,41.90 mm,20.00 mm,,12.20 mm,,,Sapphire,,,Black,Arabic Numerals,,,,,L043.5,,,,"Small Seconds, Jumping Hours, Jumping Minutes, Minute Repeater, Constant Force, Transparent Caseback","The A. Lange & Söhne Zeitwerk 142.031 was introduced in 2022. This Zeitwerk has a 41.90mm case of Pink Gold and a Black dial. It is powered by the new caliber L043.5, which sees the power reserve increased to 72 hours, over the 36 hours of the first generation Zeitwerk.",
113.041,https://watchbase.com/a-lange-sohne/lange-1/113-041,,A. Lange & Söhne,2015.0,Lange 1,Kleine Lange 1 Pink Gold Blue Mother of Pearl,Kleine Lange 1 Pink Gold Blue Mother of Pearl,,,USD,,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/113-041-f0.jpg,,Round,Rose Gold,,Transparent,36.10 mm,19.00 mm,,10.00 mm,,,Sapphire,,,"Blue, Mother of Pearl",Mixed,,,,,L901.4,,,,"Hours, Minutes, Small Seconds, Power Reserve Indication, Transparent Caseback","In its compact case with a diameter of only 36.1 millimetres, the LITTLE LANGE 1 is endowed with all features of a LANGE 1, such as the asymmetric, non-overlapping displays or the characteristic outsize date. The combination of pink or white gold with the shimmering mother-of-pearl dial in pale blue and the finely structured calfskin strap makes it an exceptionally elegant member of the renowned LANGE 1 watch family.",
101.049,https://watchbase.com/a-lange-sohne/lange-1/101-049,,A. Lange & Söhne,2002.0,Lange 1,Lange 1 Platinum Cellini,Lange 1 Platinum Cellini,,,USD,,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/101-049-e6.jpg,,Round,Platinum,,Transparent,38.50 mm,,,9.80 mm,,,Sapphire,,,White,Mixed,,,,,L901.0,,,,"Hours, Minutes, Small Seconds, Big Date, Power Reserve Indication, Transparent Caseback, Minute Repeater",The ref. 101.049 Lange 1 has a platinum case and a white dial. It was made as a limited edition of 25 pieces to commemorate the 25th anniversary of Cellini New York.,
192.066,https://watchbase.com/a-lange-sohne/lange-1/192-066,,A. Lange & Söhne,2016.0,Lange 1,Lange 1 Moonphase Day / Night White Gold / 25th Anniversary,Lange 1 Moonphase Day / Night White Gold / 25th Anniversary,Lange 1 Moonphase Day / Night White Gold / 25th Anniversary,,USD,47200.0,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/192-066-23.jpg,,Round,White Gold,,Transparent,38.50 mm,20.00 mm,,10.50 mm,,,Sapphire,,,Silver,Mixed,,,,,L121.3,,,,"Hours, Minutes, Small Seconds, Day / Night Indication, Big Date, Power Reserve Indication, Moon Phases, Transparent Caseback","The Lange 1 Moon Phase ref. 192.032 was introduced late 2016 in anticipation of SIHH 2017. Compared to the original Lange 1 Moonphase (2003 and onwards), the movement has been updated to reflect the changes also made to the regular Lange 1 - and it now includes a an additional disc below of the moonphase 'disc' to distinguish between night and day. Reference 192.066 is a limited edition of 25 pieces created in honor of the 25th anniversary of the resurrection of A. Lange & Söhne. Just like the other models in the 25th Anniversary series, it features a white gold case and a silver dial with bleu accents.",
811.064,https://watchbase.com/a-lange-sohne/lange-1/811-064,,A. Lange & Söhne,2014.0,Lange 1,Kleine Lange 1 20th Anniversary Pink Gold,Kleine Lange 1 20th Anniversary Pink Gold,Kleine Lange 1 20th Anniversary Pink Gold,,USD,,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/811-064-e6.jpg,,Round,Rose Gold,,Transparent,36.10 mm,19.00 mm,,10.00 mm,,,Sapphire,,,Silver,Mixed,,,,,L901.0,,,,"Hours, Minutes, Small Seconds, Big Date, Power Reserve Indication, Transparent Caseback","In celebration of the 20th anniversary of the Lange 1, A. Lange & Söhne created 5 sets of special Lange 1 & Kleine Lange 1 models. The ref. 811.064 has a pink gold case, a diamond-set bezel and a solid gold dial. It pairs with the ref. 101.064 Lange 1.",
117.025 (aka: 117025),https://watchbase.com/a-lange-sohne/lange-1/117-025,,A. Lange & Söhne,2012.0,Lange 1,Grand Lange 1 Platinum / Silver,Grand Lange 1 Platinum / Silver,,,USD,53850.0,https://cdn.watchbase.com/watch/lg/a-lange-soehne/lange-1/117-025-45.jpg,,Round,Platinum,,Transparent,40.90 mm,,,8.80 mm,,,Sapphire,,,Silver,Mixed,,,,,L095.1,,,,"Hours, Minutes, Small Seconds, Big Date, Transparent Caseback","The Grand Lange 1 is the larger version of the Lange 1; its case measures 40.9mm instead of the traditional 38.5. Introduced at SIHH 2012, reference 117.025 has a platinum case and silver dial. It is powered by caliber L095.1.",
320.025,https://watchbase.com/a-lange-sohne/lange-1/320-025,,A. Lange & Söhne,2010.0,Lange 1,Lange 1 Daymatic Platinum,Lange 1 Daymatic Platinum,,,USD,,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/320-025-8e.jpg,,Round,Platinum,,Transparent,39.50 mm,20.00 mm,,10.40 mm,,,Sapphire,,,Silver,Mixed,,,,,L021.1,,,,"Hours, Minutes, Small Seconds, Big Date, Day, Transparent Caseback","The Lange 1 Daymatic is a remarkable watch to observe. Although it looks familiar at first glance, it will soon seem like something is strangely different. And that's right: it's main (and familiar) indications are mirrored compared to other Lange 1 watches. In addition to the hours, minutes, small seconds and big date, caliber L02.1 also displays the day of the week through a hand on the 9:00 side. Ref. 320.025 has a platinum case.",
148.038,https://watchbase.com/a-lange-sohne/zeitwerk/148-038,,A. Lange & Söhne,2019.0,Zeitwerk,Zeitwerk Date White Gold / Grey,Zeitwerk Date White Gold / Grey,,,USD,101920.0,https://cdn.watchbase.com/watch/lg/a-lange-sohne/zeitwerk/148-038-14.jpg,,,White Gold,,Transparent,44.20 mm,21.00 mm,,12.30 mm,,,Sapphire,,,Black,Arabic Numerals,,,,,L043.8,,,,"Small Seconds, Jumping Hours, Jumping Minutes, Date, Constant Force, Transparent Caseback","The A. Lange & Söhne Zeitwerk Date was introduced at SIHH 2019. It features a white gold case of 44.2mm, housing the hand-wound caliber L043.8.",
345.056,https://watchbase.com/a-lange-sohne/lange-1/345-056,,A. Lange & Söhne,2020.0,Lange 1,Lange 1 Perpetual Calendar White Gold / Pink,Lange 1 Perpetual Calendar White Gold / Pink,,,USD,118810.0,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/345-056-93.jpg,,Round,White Gold,,Transparent,41.90 mm,22.00 mm,,12.10 mm,,,Sapphire,,,Pink,Mixed,,,,Automatic,L021.3,,,,"Hours, Minutes, Small Seconds, Big Date, Day, Leap Year, Month, Perpetual Calendar, Moon Phases, Transparent Caseback","The A. Lange & Söhne Lange 1 Perpetual Calendar reference 345.056 was launched in 2020. This watch has a White Gold case of 41.90mm, housing the self-winding caliber L021.3 movement, which pairs the model's signature asymmetrical dial layout with a perpetual calendar and moonphase.",
139.032 (aka: 139032),https://watchbase.com/a-lange-sohne/lange-1/139-032,,A. Lange & Söhne,2014.0,Lange 1,Grand Lange 1 Moonphase Pink Gold / Silver,Grand Lange 1 Moonphase Pink Gold / Silver,,,USD,50030.0,https://cdn.watchbase.com/watch/lg/a-lange-sohne/grand-lange-1/139-032-dc.jpg,,Round,Rose Gold,,Transparent,41.00 mm,20.00 mm,,9.50 mm,,,Sapphire,,,Silver,,,,,,L095.3,,,,"Hours, Minutes, Small Seconds, Big Date, Moon Phases, Power Reserve Indication, Transparent Caseback","First shown in late 2013 and introduced to the market in 2014, the Grand Lange 1 Moonphase features a moon phase display located in the off-center hour-minute sub dial - a departure from the earlier Lange 1 moonphase models, which had the display in the seconds subdial. Ref. 139.032 has a pink gold case.",
140.032,https://watchbase.com/a-lange-sohne/zeitwerk/140-032,,A. Lange & Söhne,2009.0,Zeitwerk,Zeitwerk Pink Gold,Zeitwerk Pink Gold,,,USD,83390.0,https://cdn.watchbase.com/watch/lg/a-lange-sohne/zeitwerk/140-032-b4.jpg,,,Rose Gold,,Transparent,41.90 mm,20.00 mm,,12.60 mm,,,Sapphire,,,Silver,Arabic Numerals,,,,,L043.1,,,,"Jumping Hours, Jumping Minutes, Small Seconds, Power Reserve Indication, Constant Force, Transparent Caseback",The A. Lange & Söhne Zeitwerk ref. 140.032 was introduced in 2009. It features a pink gold case and a silver dial.,
181.039 (aka: 181039),https://watchbase.com/a-lange-sohne/lange-1/181-039,,A. Lange & Söhne,2018.0,Lange 1,Kleine Lange 1 White Gold / Purple,Kleine Lange 1 White Gold / Purple,,,USD,35430.0,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/181-039-d.jpg,,Round,White Gold,,Transparent,36.80 mm,19.00 mm,,,,,Sapphire,,,Purple,Mixed,,,,,L121.1,,,,"Hours, Minutes, Small Seconds, Big Date, Power Reserve Indication, Transparent Caseback",The A. Lange & Söhne Kleine Lange 1 reference 181.038 was introduced in 2018. This boutique-only limited edition of 100 pieces features a white gold case and a purple dial.,
116.039 (aka: 116039),https://watchbase.com/a-lange-sohne/lange-1/116-039,,A. Lange & Söhne,2012.0,Lange 1,Lange 1 Timezone White Gold / Silver / Luminous,Lange 1 Timezone White Gold / Silver / Luminous,,,USD,53630.0,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/116-039-13.jpg,,Round,White Gold,,Transparent,41.90 mm,22.00 mm,,11.00 mm,,,Sapphire,,,Silver,Mixed,,,,,L031.1,,,,"Hours, Minutes, Small Seconds, Additional 12 Hour Hand (adjustable), Day / Night Indication, Big Date, Power Reserve Indication, Luminous, Transparent Caseback, Minute Repeater",The ref. 116.039 Lange 1 Timezone was introduced in 2012. It features luminous hour and power reserve markers and matching hands.,
110.031,https://watchbase.com/a-lange-sohne/lange-1/110-031,,A. Lange & Söhne,2006.0,Lange 1,Lange 1 Soirée Pink Gold,Lange 1 Soirée Pink Gold,,,USD,,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/110-031-db.jpg,,Round,Rose Gold,,Transparent,38.50 mm,,,9.80 mm,,,Sapphire,,,"White, Mother of Pearl",Mixed,,,,,L901.0,,,,"Hours, Minutes, Small Seconds, Big Date, Power Reserve Indication, Transparent Caseback, Minute Repeater",The ref. 110.031 Lange 1 Soiree features a pink gold case and an engraved mother-of-pearl dial. It was in the collection from 2006 to 2007.,
112.046,https://watchbase.com/a-lange-sohne/lange-1/112-046,,A. Lange & Söhne,2007.0,Lange 1,Lange 1 Floral,Lange 1 Floral,,,USD,,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/112-046-ee.jpg,,Round,Rose Gold,,Solid,38.50 mm,20.00 mm,,10.00 mm,,,Sapphire,,,Gold,Mixed,,,,,L901.0,,,,"Hours, Minutes, Small Seconds, Big Date, Power Reserve Indication, Minute Repeater","The ref. 112.046 Lange 1 is a limited edition created for the Japanese market. It was sold in a set with the 111.046 Kleine Lange 1. Both feature a pink gold case and dial, the latter engraved with a floral motif. The caseback is solid and engraved with the Glashütte crest.",
140.021,https://watchbase.com/a-lange-sohne/zeitwerk/140-021,,A. Lange & Söhne,2009.0,Zeitwerk,Zeitwerk Yellow Gold,Zeitwerk Yellow Gold,,,USD,,https://cdn.watchbase.com/watch/lg/a-lange-sohne/zeitwerk/140-021-c8.jpg,,,Gold,,Transparent,41.90 mm,20.00 mm,,12.60 mm,,,Sapphire,,,Champagne,Arabic Numerals,,,,,L043.1,,,,"Jumping Hours, Jumping Minutes, Small Seconds, Power Reserve Indication, Constant Force, Transparent Caseback, Minute Repeater","While the yellow gold ref. 140.021 Zeitwerk was released at the same time as its pink and white gold brothers, it would be discontinued in 2013. This version features a champagne dial.",
117.025DUB,https://watchbase.com/a-lange-sohne/lange-1/117-025dub,,A. Lange & Söhne,2012.0,Lange 1,Grand Lange 1 Platinum / Dubail,Grand Lange 1 Platinum / Dubail,,,USD,47850.0,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/117-025dub-48.png,,Round,Platinum,,Transparent,40.90 mm,,,8.80 mm,,,Sapphire,,,"Blue, Mother of Pearl",Mixed,,,,,L095.1,,,,"Hours, Minutes, Small Seconds, Big Date, Transparent Caseback",The A. Lange & Söhne Grand Lange 1 ref. 117.025 is a limited edition of 25 pieces created for Dubail Paris. It features a platinum case and a blue mother-of-pearl dial.,
137.038,https://watchbase.com/a-lange-sohne/lange-1/137-038,,A. Lange & Söhne,2022.0,Lange 1,Grand Lange 1 White Gold / Grey,Grand Lange 1 White Gold / Grey,,,USD,58640.0,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/137-038-96.jpg,,Round,White Gold,,Transparent,41.00 mm,,,8.20 mm,,,Sapphire,,,Gray,Mixed,,,,,L095.1,,,,"Hours, Minutes, Small Seconds, Big Date, Transparent Caseback","The A. Lange & Söhne Grand Lange 1 137.038 was introduced in 2022. This watch has a White Gold case of 41.00mm, which houses the hand-wound caliber L095.1. The dial, crafted from solid silver, is Grey.",
813.044,https://watchbase.com/a-lange-sohne/lange-1/813-044,,A. Lange & Söhne,2008.0,Lange 1,Kleine Lange 1 Soirée White Gold,Kleine Lange 1 Soirée White Gold,,,USD,,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/813-044-8d.jpg,,Round,White Gold,,Transparent,36.10 mm,19.00 mm,,10.00 mm,,,Sapphire,,,"White, Mother of Pearl",Mixed,,,,,L901.4,,,,"Hours, Minutes, Small Seconds, Power Reserve Indication, Transparent Caseback, Minute Repeater",The ref. 813.044 Kleine Lange 1 features a white gold case with diamond-set bezel and lugs. The mother-of-pearl dial is set with diamonds too.,
101.027,https://watchbase.com/a-lange-sohne/lange-1/101-027,,A. Lange & Söhne,1997.0,Lange 1,Lange 1 White Gold Blue,Lange 1 White Gold Blue,,,USD,,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/101-027-8c.jpg,,Round,White Gold,,Transparent,38.50 mm,,,9.80 mm,,,Sapphire,,,Blue,Mixed,,,,,L901.0,,,,"Hours, Minutes, Small Seconds, Big Date, Power Reserve Indication, Transparent Caseback, Minute Repeater",The ref 101.027 has a white gold case and a blue dial. It is powered by caliber L901.0.,
181.038,https://watchbase.com/a-lange-sohne/lange-1/181-038,,A. Lange & Söhne,2018.0,Lange 1,Kleine Lange 1 White Gold / Grey,Kleine Lange 1 White Gold / Grey,,,USD,35430.0,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/181-038-e4.jpg,,Round,White Gold,,Transparent,36.80 mm,19.00 mm,,,,,Sapphire,,,Gray,Mixed,,,,,L121.1,,,,"Hours, Minutes, Small Seconds, Big Date, Power Reserve Indication, Transparent Caseback",The A. Lange & Söhne Kleine Lange 1 reference 181.038 was introduced in 2018. It features a white gold case and a grey dial.,
115.026,https://watchbase.com/a-lange-sohne/lange-1/115-026,,A. Lange & Söhne,2008.0,Lange 1,Grand Lange 1 Platinum / Silver,Grand Lange 1 Platinum / Silver,,,USD,,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/115-026-3a.jpg,,Round,Platinum,,Transparent,41.90 mm,22.00 mm,,11.00 mm,,,Sapphire,,,Silver,Mixed,,,,,L901.2,,,,"Hours, Minutes, Small Seconds, Big Date, Power Reserve Indication, Transparent Caseback",The A. Lange & Söhne Grand Lange 1 115.026 pairs a Platinum case with a Silver dial.,
115.321,https://watchbase.com/a-lange-sohne/lange-1/115-321,,A. Lange & Söhne,2007.0,Lange 1,Grande Lange 1 Yellow Gold / Champagne / Bracelet,Grande Lange 1 Yellow Gold / Champagne / Bracelet,,,USD,,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/115-321-71.jpg,,Round,Gold,,,41.90 mm,22.00 mm,,10.00 mm,,,,,,Champagne,,,,,,L901.2,,,,"Hours, Minutes, Small Seconds, Big Date, Power Reserve Indication",The A. Lange & Söhne Grande Lange 1 115.321 has a Yellow Gold case paired with a Champagne dial.,
140.029,https://watchbase.com/a-lange-sohne/zeitwerk/140-029,,A. Lange & Söhne,2009.0,Zeitwerk,Zeitwerk White Gold / Black,Zeitwerk White Gold / Black,,,USD,83390.0,https://cdn.watchbase.com/watch/lg/a-lange-sohne/zeitwerk/140-029-54.jpg,,,White Gold,,Transparent,41.90 mm,20.00 mm,,12.60 mm,,,Sapphire,,,Black,Arabic Numerals,,,,,L043.1,,,,"Jumping Hours, Jumping Minutes, Small Seconds, Power Reserve Indication, Constant Force, Transparent Caseback, Minute Repeater",The Zeitwerk ref. 140.029 was introduced in 2009. It features a black dial with white discs for the hour and minute indicators. The case is white gold.,
109.321,https://watchbase.com/a-lange-sohne/lange-1/109-321,,A. Lange & Söhne,2007.0,Lange 1,Lange 1 Moonphase Yellow Gold / Silver / Bracelet,Lange 1 Moonphase Yellow Gold / Silver / Bracelet,,,USD,,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/109-321-a.jpg,,Round,Gold,,Transparent,38.50 mm,20.00 mm,,10.40 mm,,,Sapphire,,,Silver,Mixed,,,,,L901.5,,,,"Hours, Minutes, Small Seconds, Big Date, Moon Phases, Power Reserve Indication, Transparent Caseback",The A. Lange & Söhne Lange 1 Moonphase 109.321 has a Yellow Gold case and a Silver dial.,
101.064,https://watchbase.com/a-lange-sohne/lange-1/101-064,,A. Lange & Söhne,2014.0,Lange 1,Lange 1 20th Anniversary Pink Gold,Lange 1 20th Anniversary Pink Gold,Lange 1 20th Anniversary Pink Gold,,USD,,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/101-064-ca.jpg,,Round,Rose Gold,,Transparent,38.50 mm,20.00 mm,,10.00 mm,,,Sapphire,,,Silver,Mixed,,,,,L901.0,,,,"Hours, Minutes, Small Seconds, Big Date, Power Reserve Indication, Transparent Caseback","In celebration of the 20th anniversary of the Lange 1, A. Lange & Söhne created 5 sets of special Lange 1 & Kleine Lange 1 models. The ref. 101.064 has a pink gold case and a solid gold dial. It pairs with the ref. 811.064 Kleine Lange 1.",
136.025,https://watchbase.com/a-lange-sohne/lange-1/136-025,,A. Lange & Söhne,2023.0,Lange 1,Lange 1 Timezone Platinum / Silver,Lange 1 Timezone Platinum / Silver,,,USD,,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/136-025-5b.jpg,,Round,Platinum,,Transparent,41.90 mm,22.00 mm,,10.90 mm,,,Sapphire,,,Silver,No numerals,,,,,L141.1 ,,,,"Additional 12 Hour Hand (adjustable), Day / Night Indication, Hours, Minutes, Small Seconds, Big Date, Power Reserve Indication, Transparent Caseback","The A. Lange & Söhne Lange 1 Timezone reference 136.025 was introduced in 2023. This Lange 1 Time zone has a Platinum case paired with a Silver dial. This watch is powered by caliber L141.1, a movement which was introduced with the second generation of Lange 1 Time Zone in 2020.",
142.025,https://watchbase.com/a-lange-sohne/zeitwerk/142-025,,A. Lange & Söhne,2022.0,Zeitwerk,Zeitwerk Platinum / Silver,Zeitwerk Platinum / Silver,,,USD,,https://cdn.watchbase.com/watch/lg/a-lange-sohne/zeitwerk/142-025-a2.jpg,,Round,Platinum,,Transparent,41.90 mm,20.00 mm,,12.20 mm,,,Sapphire,,,Silver,Arabic Numerals,,,,,L043.5,,,,"Small Seconds, Jumping Hours, Jumping Minutes, Minute Repeater, Constant Force, Transparent Caseback","The A. Lange & Söhne Zeitwerk 142.025 was introduced in 2022. This Zeitwerk has a 41.90mm case of Platinum and a Silver dial. It is powered by the new caliber L043.5, which sees the power reserve increased to 72 hours, over the 36 hours of the first generation Zeitwerk.",
811.061,https://watchbase.com/a-lange-sohne/lange-1/811-061,,A. Lange & Söhne,2014.0,Lange 1,Kleine Lange 1 20th Anniversary Platinum,Kleine Lange 1 20th Anniversary Platinum,Kleine Lange 1 20th Anniversary Platinum,,USD,,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/811-061-8e.jpg,,Round,Platinum,,Transparent,36.10 mm,19.00 mm,,10.00 mm,,,Sapphire,,,Silver,Mixed,,,,,L901.0,,,,"Hours, Minutes, Small Seconds, Big Date, Power Reserve Indication, Transparent Caseback","In celebration of the 20th anniversary of the Lange 1, A. Lange & Söhne created 5 sets of special Lange 1 & Kleine Lange 1 models. The ref. 811.061 has a platinum case, a diamond-set bezel and a solid gold dial. It pairs with the ref. 101.061 Lange 1.",
101.039,https://watchbase.com/a-lange-sohne/lange-1/101-039,,A. Lange & Söhne,2009.0,Lange 1,Lange 1 White Gold / Silver,Lange 1 White Gold / Silver,,,USD,,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/101-039-f5.jpg,,Round,White Gold,,Transparent,38.50 mm,20.00 mm,,10.00 mm,,,Sapphire,,,Silver,Mixed,,,,,L901.0,,,,"Hours, Minutes, Small Seconds, Big Date, Power Reserve Indication, Transparent Caseback",The Lange. 1 reference 101.039 was introduced in 2009. It features a white gold case and silver dial. It is powered by caliber L901.0. It was discontinued with the introduction of the next-gen Lange 1 in 2015.,
101.047,https://watchbase.com/a-lange-sohne/lange-1/101-047,,A. Lange & Söhne,2007.0,Lange 1,Lange 1 Leon Martens Maastricht,Lange 1 Leon Martens Maastricht,,,USD,,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/101-047-15.jpg,,Round,Rose Gold,,Transparent,38.50 mm,20.00 mm,,10.00 mm,,,Sapphire,,,Brown,Mixed,,,,,L901.0,,,,"Hours, Minutes, Small Seconds, Big Date, Power Reserve Indication, Transparent Caseback",The Lange 1 ref. 101.047 is a limited edition of 10 pieces create in celebration of the 100 year anniversary of Dutch Lange Authorized Dealer Leon Martens. It features a pink gold case and a brown dial. Its movement is engraved in Dutch.,
109.033X,https://watchbase.com/a-lange-sohne/lange-1/109-033x,,A. Lange & Söhne,2006.0,Lange 1,Lange 1 Moonphase Dresden Set,Lange 1 Moonphase Dresden Set,,,USD,,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/109-033x-b4.jpg,,Round,Rose Gold,,Transparent,38.50 mm,20.00 mm,,10.40 mm,,,Sapphire,,,Gray,Mixed,,,,,L901.5,,,,"Hours, Minutes, Small Seconds, Big Date, Moon Phases, Power Reserve Indication, Transparent Caseback",The Lange 1 Moonphase 'Dresden Set' was created in 2006 in celebration of the 800th anniversary of Dresden. It was sold in a set with the ref. 401.032X). A total of 8 sets were created.,
112.049,https://watchbase.com/a-lange-sohne/lange-1/112-049,,A. Lange & Söhne,2003.0,Lange 1,Lange 1 Sincere,Lange 1 Sincere,,,USD,,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/112-049-cd.jpg,,Round,Platinum,,Transparent,38.50 mm,,,9.80 mm,,,Sapphire,,,Silver,Mixed,,,,,L901.0,,,,"Hours, Minutes, Small Seconds, Big Date, Power Reserve Indication, Transparent Caseback, Minute Repeater",The ref. 112.049 was made in 2003 as a limited edition of 100 pieces for the Singapore jeweler Sincere. It features a white gold dial with guilloché pattern.,
115.028,https://watchbase.com/a-lange-sohne/lange-1/115-028,,A. Lange & Söhne,2010.0,Lange 1,Grand Lange 1 Luminous White Gold / Black,Grand Lange 1 Luminous White Gold / Black,,,USD,,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/115-028-1d.jpg,,Round,White Gold,,Transparent,41.90 mm,22.00 mm,,11.00 mm,,,Sapphire,,,Black,Mixed,,,,,L901.2,,,,"Hours, Minutes, Small Seconds, Big Date, Power Reserve Indication, Transparent Caseback",The Grand Lange 1 ref. 115.028 appeared in the A. Lange & Söhne catalogues from 2010 to 2013. It features a white gold case and a black dial.,
191.039,https://watchbase.com/a-lange-sohne/lange-1/191-039,,A. Lange & Söhne,2016.0,Lange 1,Lange 1 White Gold / Silver,Lange 1 White Gold / Silver,,,USD,36950.0,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/191-039-4a.jpg,,Round,White Gold,,Transparent,38.50 mm,,,9.80 mm,,,Sapphire,,,Silver,Mixed,,,,,L121.1,,,,"Hours, Minutes, Small Seconds, Big Date, Power Reserve Indication, Luminous, Transparent Caseback","Added to the Lange 1 collection at SIHH 2016, reference 191.039 has a white gold case and a silver dial with luminous hands and indexes.",
101.022,https://watchbase.com/a-lange-sohne/lange-1/101-022,,A. Lange & Söhne,1995.0,Lange 1,Lange 1 Yellow Gold Painted,Lange 1 Yellow Gold Painted,,,USD,,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/101-022-b1.jpg,,Round,Gold,,Transparent,38.50 mm,,,9.80 mm,,,Sapphire,,,Silver,Mixed,,,,,L901.0,,,,"Hours, Minutes, Small Seconds, Big Date, Power Reserve Indication, Transparent Caseback, Minute Repeater","The ref. 101.022 is the successor to the 101.002, with its caseback now being a display back instead of solid.",
115.046,https://watchbase.com/a-lange-sohne/lange-1/115-046,,A. Lange & Söhne,2007.0,Lange 1,Grand Lange 1 Blue Italia,Grand Lange 1 Blue Italia,,,USD,,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/115-046-8e.jpg,,Round,White Gold,,Transparent,40.90 mm,,,8.80 mm,,,Sapphire,,,Silver,Mixed,,,,,L901.2,,,,"Hours, Minutes, Small Seconds, Big Date, Power Reserve Indication, Transparent Caseback, Minute Repeater",The present version of the Grand Lange 1 features a silvered dial paired with blued indexes and hands. It was made for the Italian market 2007-2009.,
151.025,https://watchbase.com/a-lange-sohne/lange-1/151-025,,A. Lange & Söhne,1995.0,Lange 1,Lange 1 Platinum Bracelet,Lange 1 Platinum Bracelet,,,USD,,https://cdn.watchbase.com/watch/lg/a-lange-sohne/lange-1/151-025-5b.jpg,,Round,,,Transparent,38.50 mm,,,9.80 mm,,,Sapphire,,,Silver,Mixed,,,,,L901.0,,,,"Hours, Minutes, Small Seconds, Big Date, Power Reserve Indication, Transparent Caseback",,
