reference_number,watch_url,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_url,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description,hash_watch_url
730.079F,https://www.alange-soehne.com/us-en/timepieces/1815/1815-tourbillon/1815-tourbillon-in-950-platinum-730-079,,A. Lange & Söhne,,1815,1815 Tourbillon,in 950 platinum,,Dress,USD,,https://img.alange-soehne.com/product-slideshow-product-2/a0bba34e18f47c4a9c232404c5baed7088448741.jpg,Germany,Round,['Platinum'],,Transparent,39.5 mm,20 mm,,11.3 mm,,,Sapphire,3 ATM,,White,Arabic numerals,"['Leather', 'Alligator']",['Black'],,Manual winding,L102.1,72 hours,,,"['Tourbillon', 'zero reset']","For the first time, in the 1815 tourbillon, a. Lange & sohne combined the patented stop-seconds mechanism for the tourbillon with the zero-reset time-setting mechanism. The platinum model has a white dial made of enamelled copper. Limited to 100 pieces, this model is available exclusively in lange boutiques.",,dd77a6afbdf8069dc534c65030a2f274
235.032,https://www.alange-soehne.com/us-en/timepieces/1815/1815/1815-in-18-carat-pink-gold-235-032,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,,1815,1815,in 18-carat pink gold,,Dress,USD,31100.0,https://img.alange-soehne.com/product-slideshow-product-2/30afdbc90a463b828e378d5c8fe4bb405a9d0e6a.jpg,Germany,Round,['Rose Gold'],,Transparent,38.5 mm,20 mm,,8.8 mm,Rose Gold,['Rose Gold'],Sapphire,3 ATM,,"Silver, White",Arabic numerals,"['Leather', 'Alligator']",['Brown'],['Buckle'],Manual winding,L051.1,55 hours,,23.0,['Small seconds'],"With its name, the sleek, elegant 1815 refers to the birth year of ferdinand adolph lange, the founder of the manufactory. The model version in pink gold features an argente-coloured dial crafted from solid silver.",,bf2bf9e4563ca240dcf41eba60485409
405.031,https://www.alange-soehne.com/us-en/timepieces/saxonia/datograph-updown/datograph-updown-in-18-carat-pink-gold-405-031,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,,Saxonia,Saxonia Datograph Up/Down,in 18-carat pink gold,,Dress,USD,85236.0,https://img.alange-soehne.com/product-slideshow-product-2/5abb63732cf5876aea7fc2634eb3cbd883579424.jpg,Germany,Round,['Rose Gold'],,Transparent,41 mm,20 mm,,13.1 mm,Rose Gold,['Rose Gold'],Sapphire,3 ATM,,"Black, Silver, White, Black, Silver",No numerals,"['Leather', 'Alligator']",['Brown'],['Buckle'],Manual winding,L951.6,60 hours,21600 A/h,46.0,"['Outsize date', 'chronograph', 'power-reserve indicator']",The datograph up/down stands out with its prominent dial layout and its exceptional manufacture movement. The model version in pink gold features a black dial crafted from solid silver.,,b44fae9544f47aa4967f211ba7af0979
232.032,https://www.alange-soehne.com/us-en/timepieces/richard-lange/richard-lange/richard-lange-in-18-carat-pink-gold-232-032,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,2006.0,Richard Lange,Richard Lange,in 18-carat pink gold,,Dress,USD,24937.5,https://img.alange-soehne.com/product-slideshow-product-2/c756c8b1a91a26ce343fbd0861071d5835b2537c.jpg,Germany,Round,['Rose Gold'],,Transparent,40.5 mm,20 mm,,10.5 mm,Rose Gold,['Rose Gold'],Sapphire,3 ATM,,"Silver, White",Roman numerals,"['Leather', 'Alligator']",['Brown'],['Buckle'],Manual winding,L041.2,38 hours,21600 A/h,26.0,"['Display back', 'Central seconds']","With superior rate accuracy and eminent legibility, the richard lange continues the tradition of scientific observation watches at a. Lange & sohne. The model version in pink gold features an argente-coloured dial crafted from solid silver.",,ed2343de11c929c88de13caee4adce1c
722.066F,https://www.alange-soehne.com/us-en/timepieces/lange-1/lange-1-tourbillon-25th-anniversary/lange-1-tourbillon-25th-anniversary-in-18-carat-white-gold-722-066,,A. Lange & Söhne,,Lange 1,Lange 1 Tourbillon 25Th Anniversary,in 18-carat white gold,25th Anniversary,Dress,USD,,https://img.alange-soehne.com/product-slideshow-product-2/dd7ad973d1fe15ee69982e73ed31641cf8add8da.jpg,Germany,Round,['White Gold'],,Transparent,38.5 mm,20 mm,,9.8 mm,,,Sapphire,3 ATM,,"Silver, White",,"['Leather', 'Alligator']",['Blue'],,Manual winding,L961.4,72 hours,,,"['Outsize date', 'tourbillon', 'power-reserve indicator']","In a 25-watch limited edition in white gold, the lange 1 tourbillon 25th anniversary completes the ten-part special series that celebrates the 25th anniversary of the lange 1. The model version in white gold features an argente-coloured dial crafted from solid silver. Limited to 25 pieces, this model of the 25th anniversary edition is available exclusively in lange boutiques.",,6d48e69b1227d2e774493052469eb2e1
252.025,https://www.alange-soehne.com/us-en/timepieces/richard-lange/richard-lange-jumping-seconds/richard-lange-jumping-seconds-in-950-platinum-252-025,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,2016.0,Richard Lange,Richard Lange Jumping Seconds,in 950 platinum,,Dress,USD,84950.0,https://img.alange-soehne.com/product-slideshow-product-2/20ae50caaafd9a1460eef40df3a1f8cad40b46fe.jpg,Germany,Round,['Platinum'],,Transparent,40 mm,20 mm,,10.6 mm,,,Sapphire,3 ATM,,Silver,Roman numerals,"['Leather', 'Alligator']",['Black'],['Buckle'],Manual winding,L094.1,42 hours,,,"['Constant-force escapement', 'zero reset', 'power-reserve indicator', 'constant-force escapement']",This model was introduced in 2016. The dial is crafted from solid silver. The hands are made of rhodiumed gold and blued steel.,,c25cf52c11d14721c1d16a6e214174fa
384.026,https://www.alange-soehne.com/us-en/timepieces/saxonia/saxonia-moon-phase/saxonia-moon-phase-in-18-carat-white-gold-384-026,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,,Saxonia,Saxonia Moon Phase,in 18-carat white gold,,Dress,USD,30008.0,https://img.alange-soehne.com/product-slideshow-product-2/22f9948b9a69f3fdd9d70fb7f9c5b8bd222ff366.jpg,Germany,Round,['White Gold'],,Transparent,40 mm,20 mm,,9.8 mm,White Gold,['Silver'],Sapphire,3 ATM,,"Silver, White",No numerals,"['Leather', 'Alligator']",['Black'],['Buckle'],Automatic,L086.5,72 hours,21600 A/h,40.0,"['Outsize date', 'moon-phase display']","Featuring the lange outsize date and a precise moon-phase display, the saxonia moon phase combines two classic complications. The model version in white gold features an argente-coloured dial crafted from solid silver.",,c2de747df5e45228a798cfcba02f1b00
139.032,https://www.alange-soehne.com/us-en/timepieces/lange-1/grand-lange-1-moon-phase/grand-lange-1-moon-phase-in-18-carat-pink-gold-139-032,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,,Lange 1,Grand Lange 1 Moon Phase,in 18-carat pink gold,,Dress,USD,63200.0,https://img.alange-soehne.com/product-slideshow-product-2/7be316d8f0358088ec047031d53d1a75681dbe41.jpg,Germany,Round,['Rose Gold'],,Transparent,41 mm,20 mm,,9.5 mm,Rose Gold,['Rose Gold'],Sapphire,3 ATM,,"Silver, White",Roman numerals,"['Leather', 'Alligator']",['Brown'],['Buckle'],Manual winding,L095.3,72 hours,,45.0,"['Outsize date', 'moon-phase display', 'power-reserve indicator']",This watch is fully focused on its eponymous complication. The position of the moon-phase display in the hour and minute circle allows the large-format depiction of the moon and the starry sky. The model version in pink gold features an argente-coloured dial crafted from solid silver.,,1458e174bd12e0d67df59d78d92e3ea5
706.025FE,https://www.alange-soehne.com/us-en/timepieces/1815/tourbograph-perpetual-pour-le-merite/tourbograph-perpetual-pour-le-merite-in-950-platinum-706-025,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,,1815,Tourbograph Perpetual Pour Le Merite,in 950 platinum,Pour le Merite,,USD,879860.0,https://img.alange-soehne.com/product-slideshow-product-2/50bad6ecfe3fa5c7c3ee3a8aadfa74e69a0fa67f.jpg,Germany,,['Platinum'],,Transparent,43 mm,22 mm,,16.6 mm,,,Sapphire,3 ATM,,"Silver, White",,"['Leather', 'Alligator']",['Black'],,Manual winding,L133.1,36 hours,,,"['Calendar function', 'moon-phase display', 'tourbillon', 'chronograph', 'Fusee-and-chain transmission', 'day-of-week display']","The tourbograph perpetual pour le merite combines five outstanding complications: fusee-and-chain transmission, tourbillon, rattrapante chronograph, and perpetual calendar. The model version in platinum features an argente-coloured dial crafted from solid silver. Limited to 50 pieces, this model is available exclusively in lange boutiques.",,1c1c9e0edcb0732126b5ce36cef20284
181.037,https://www.alange-soehne.com/us-en/timepieces/lange-1/little-lange-1/little-lange-1-in-18-carat-pink-gold-181-037,,A. Lange & Söhne,,Lange 1,Little Lange 1,in 18-carat pink gold,,Dress,USD,,https://img.alange-soehne.com/product-slideshow-product-2/70cfeee0a2a448c84d9abe588728c36ee9092687.jpg,Germany,Round,['Rose Gold'],,Transparent,36.8 mm,19 mm,,9.5 mm,,,Sapphire,3 ATM,,Brown,,"['Leather', 'Alligator']",['Brown'],,Manual winding,L121.1,72 hours,,,"['Outsize date', 'power-reserve indicator']","Compact but impressive. Conceived for slender wrists, the little lange 1 shares all the advantages of the classic lange 1 in terms of technology and design. The model version in pink gold features a brown, guilloched dial made of gold.",,7e1983b3632ccef1b26e6147ea7a4dd0
703.048F,https://www.alange-soehne.com/us-en/timepieces/cabaret/cabaret-tourbillon-handwerkskunst/cabaret-tourbillon-handwerkskunst-in-950-platinum-703-048,,A. Lange & Söhne,,Cabaret,Cabaret Tourbillon Handwerkskunst,in 950 platinum,HANDWERKSKUNST,,USD,,https://img.alange-soehne.com/product-slideshow-product-2/1a7e090d8dfa42c52064295bd55e3574d99a8223.jpg,Germany,Rectangular,['Platinum'],,Transparent,,22 mm,,10.3 mm,,,Sapphire,3 ATM,,Gray,,"['Leather', 'Alligator']",['Black'],,Manual winding,L042.1,120 hours,,,['Tourbillon'],This model was introduced in 2021. The dial is crafted from solid white gold and features manual engravings in the lozenge design style and semi-transparent enamelling. The hands are made of rhodiumed gold.,,bb66fe88a8fcb419ee0f876dc4dac65e
345.036 E,https://www.alange-soehne.com/us-en/timepieces/lange-1/lange-1-perpetual-calendar/lange-1-perpetual-calendar-in-950-platinum-345-036,,A. Lange & Söhne,,Lange 1,Lange 1 Perpetual Calendar,in 950 platinum,,Dress,USD,,https://img.alange-soehne.com/product-slideshow-product-2/1e76958331e66de35b79605f1cb1ced86a090717.jpg,Germany,Round,['Platinum'],,Transparent,41.9 mm,22 mm,,12.1 mm,,,Sapphire,3 ATM,,Black,,"['Leather', 'Alligator']",['Black'],,Automatic,L021.3,50 hours,,,"['Outsize date', 'day/night indicator', 'moon-phase display', 'calendar function', 'day-of-week display']","With its precisely jumping calendar displays and the peripheral month ring, the lange 1 perpetual calendar delivers unique mechanical and conceptual solutions. The model version in platinum features a black dial crafted from solid silver.",,68f72a548f0155ea61d1f4376575c6bb
192.025,https://www.alange-soehne.com/us-en/timepieces/lange-1/lange-1-moon-phase/lange-1-moon-phase-in-950-platinum-192-025,,A. Lange & Söhne,,Lange 1,Lange 1 Moon Phase,in 950 platinum,,Dress,USD,,https://img.alange-soehne.com/product-slideshow-product-2/4361635a0d58f24b985b7848694b2136c5ecaa47.jpg,Germany,Round,['Platinum'],,Transparent,38.5 mm,20 mm,,10.2 mm,,,Sapphire,3 ATM,,Silver,,"['Leather', 'Alligator']",['Black'],,Manual winding,L121.3,72 hours,,,"['Outsize date', 'moon-phase display', 'day/night indicator', 'power-reserve indicator']",This masterpiece features and exceptional moon-phase display: its innovative design combines the depiction of the moon with a day/night indicator. The model version in platinum features a rhodie-coloured dial crafted from solid silver.,,db83d3c2c929a2c5f66aed98678f2e40
137.033,https://www.alange-soehne.com/us-en/timepieces/lange-1/grand-lange-1/grand-lange-1-in-18-carat-pink-gold-137-033,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,2022.0,Lange 1,Grand Lange 1,in 18-carat pink gold,,Dress,USD,40750.0,https://img.alange-soehne.com/product-slideshow-product-2/e1eee11509337438e07bef3db4a4f57f84c94bc2.jpg,Germany,Round,['Rose Gold'],,Transparent,41 mm,20 mm,,8.2 mm,,,Sapphire,3 ATM,,Gray,Roman numerals,"['Leather', 'Alligator']",['Brown'],['Buckle'],Manual winding,L095.1,72 hours,,,"['Outsize date', 'power-reserve indicator']",The new grand lange 1 reflects a. Lange & sohnes ambition to achieve ever-new milestones in horology. The model version in pink gold features a grey dial crafted from solid silver.,,86f8089a6fd18948b6a8885f84299c30
414.028,https://www.alange-soehne.com/us-en/timepieces/1815/1815-chronograph/1815-chronograph-in-18-carat-white-gold-414-028,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,,1815,1815 Chronograph,in 18-carat white gold,,Chronograph,USD,61750.0,https://img.alange-soehne.com/product-slideshow-product-2/149cf0966b5a87777bfb33e05b1693d85d10a5da.jpg,Germany,Round,['White Gold'],,Transparent,39.5 mm,20 mm,,11 mm,,,Sapphire,3 ATM,,Black,Arabic numerals,"['Leather', 'Alligator']",['Black'],['Buckle'],Manual winding,L951.5,60 hours,,34.0,['Chronograph'],The 1815 chronograph unites traditional elements with latest-generation chronograph technology. The model version in white gold features a black dial crafted from solid silver.,,99b1a4deafa72e0527cd9b677efde946
310.032 E,https://www.alange-soehne.com/us-en/timepieces/saxonia/langematik-perpetual/langematik-perpetual-in-18-carat-pink-gold-310-032,,A. Lange & Söhne,,Saxonia,Langematik Perpetual,in 18-carat pink gold,,,USD,,https://img.alange-soehne.com/product-slideshow-product-2/dcbd246f07f89f91b928633354b19803fc46c77f.jpg,Germany,,['Rose Gold'],,Transparent,38.5 mm,20 mm,,10.2 mm,,,Sapphire,3 ATM,,"Silver, White",,"['Leather', 'Alligator']",['Brown'],,Automatic,L922.1,46 hours,,,"['Outsize date', 'calendar function', 'moon-phase display', 'day/night indicator', 'zero reset', 'day-of-week display']","When the langematik perpetual was launched in 2001, it was the first mechanical wristwatch that combined a perpetual calendar with a lange outsize date. The model version in pink gold features an argente-coloured dial crafted from solid silver.",,5f9300b48099bcfbfe075bb7774cba22
192.032,https://www.alange-soehne.com/us-en/timepieces/lange-1/lange-1-moon-phase/lange-1-moon-phase-in-18-carat-pink-gold-192-032,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,2016.0,Lange 1,Lange 1 Moon Phase,in 18-carat pink gold,,Dress,USD,54800.0,https://img.alange-soehne.com/product-slideshow-product-2/7a139afa6fcbaa980d9040af55ab3afa7902c08d.jpg,Germany,Round,['Rose Gold'],,Transparent,38.5 mm,20 mm,,10.2 mm,Rose Gold,['Rose Gold'],Sapphire,3 ATM,,"Silver, White",Roman numerals,"['Leather', 'Alligator']",['Brown'],['Buckle'],Manual winding,L121.3,72 hours,,47.0,"['Outsize date', 'moon-phase display', 'day/night indicator', 'power-reserve indicator']",This masterpiece features and exceptional moon-phase display: its innovative design combines the depiction of the moon with a day/night indicator. The model version in pink gold features an argente-coloured dial crafted from solid silver.,,efa9b9eac1494b312170afd2cece1a03
239.05,https://www.alange-soehne.com/us-en/timepieces/1815/1815-thin-honeygold-homage-to-f-a-lange/1815-thin-honeygold-homage-to-f-a-lange-in-18-carat-honey-gold-239-050,,A. Lange & Söhne,,1815,1815 Thin Honeygold Homage To F. A. Lange,in 18-carat HONEYGOLD,Homage to F. A. Lange,Dress,USD,,https://img.alange-soehne.com/product-slideshow-product-2/e18bfcefa02b9994783189396c32c7f17f50f41c.jpg,Germany,Round,['Gold'],,Transparent,38 mm,20 mm,,6.3 mm,,,Sapphire,3 ATM,,White,Arabic numerals,"['Leather', 'Alligator']",['Brown'],,Manual winding,L093.1,72 hours,,,[],"With its numerous traditional hallmarks, such as the railway-track minute scale, the 1815 thin honeygold homage to f. A. Lange is reminiscent of the legendary pocket watches of ferdinand adolph lange. The model version in honeygold features a white dial made of enamelled copper. Limited to 175 pieces, this model of the ""homage to f. A. Lange"" edition is available exclusively in lange boutiques.",,87ee1c953f1f10a8a3de3391f368c33e
139.025,https://www.alange-soehne.com/us-en/timepieces/lange-1/grand-lange-1-moon-phase/grand-lange-1-moon-phase-in-950-platinum-139-025,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,2014.0,Lange 1,Grand Lange 1 Moon Phase,in 950 platinum,,Dress,USD,57500.0,https://img.alange-soehne.com/product-slideshow-product-2/bcf8fe0b2b193dc12f285472418c057caf77979c.jpg,Germany,Round,['Platinum'],,Transparent,41 mm,20 mm,,9.5 mm,Platinum,['Silver'],Sapphire,3 ATM,,Silver,Roman numerals,"['Leather', 'Alligator']",['Black'],['Buckle'],Manual winding,L095.3,72 hours,,45.0,"['Outsize date', 'moon-phase display', 'power-reserve indicator']",This watch is fully focused on its eponymous complication. The position of the moon-phase display in the hour and minute circle allows the large-format depiction of the moon and the starry sky. The model version in platinum features a rhodie-coloured dial crafted from solid silver.,,2c28209348777484465cbe88a6661868
363.179,https://www.alange-soehne.com/us-en/timepieces/odysseus/odysseus/odysseus-in-stainless-steel-363-179,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,2019.0,Odysseus,Odysseus,in stainless steel,,Sport,USD,73650.0,https://img.alange-soehne.com/product-slideshow-product-2/a61eaa31e3b0c01d8e734fb23685e4a331e4eb42.jpg,Germany,Round,['Steel'],,Transparent,40.5 mm,36 mm,,11.1 mm,Steel,['Steel'],Sapphire,12 ATM,,Blue,No numerals,['Steel'],['Steel'],['Folding Clasp'],Automatic,L155.1,50 hours,,31.0,"['Outsize date', 'day-of-week display']",The odysseus is designed for ambitious individuals who want a watch that accompanies them in lifes most memorable moments. The model version in stainless steel features a dark-blue dial made of brass. This model is available exclusively in lange boutiques.,,073a02e7a2707e1522bf95b2b9abfa4c
740.056FE,https://www.alange-soehne.com/us-en/timepieces/saxonia/datograph-perpetual-tourbillon/datograph-perpetual-tourbillon-in-18-carat-white-gold-740-056,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,,Saxonia,Saxonia Datograph Perpetual Tourbillon,in 18-carat white gold,,Dress,USD,269950.0,https://img.alange-soehne.com/product-slideshow-product-2/32ad926d3a5484464300f7f3019aef49266f55f7.jpg,Germany,Round,['White Gold'],,Transparent,41.5 mm,20 mm,,14.6 mm,,,Sapphire,3 ATM,,Rose Gold,No numerals,"['Leather', 'Alligator']",['Brown'],['Buckle'],Manual winding,L952.2,50 hours,,,"['Outsize date', 'calendar function', 'moon-phase display', 'tourbillon', 'chronograph', 'day/night indicator', 'power-reserve indicator', 'day-of-week display']","The datograph perpetual tourbillon unites three significant complications: a flyback chronograph, a perpetual calendar and a tourbillon with a patented stop-seconds mechanism. The white-gold model has a dial made of solid pink gold. Limited to 100 pieces, this model is available exclusively in lange boutiques.",,ee6c26f899f367ff554ebd2ef6e01766
180.032FE,https://www.alange-soehne.com/us-en/timepieces/richard-lange/richard-lange-perpetual-calendar-terraluna/richard-lange-perpetual-calendar-terraluna-in-18-carat-pink-gold-180-032,,A. Lange & Söhne,,Richard Lange,"Richard Lange Perpetual Calendar ""Terraluna""",in 18-carat pink gold,Terraluna,Dress,USD,,https://img.alange-soehne.com/product-slideshow-product-2/72a462e714970f2f41bff162078a1fd36d5f9a80.jpg,Germany,Round,['Rose Gold'],,Transparent,45.5 mm,22 mm,,16.5 mm,,,Sapphire,3 ATM,,"Silver, White",Roman numerals,"['Leather', 'Alligator']",['Brown'],,Manual winding,L096.1,336 hours,,,"['Outsize date', 'calendar function', 'moon-phase display', 'Constant-force escapement', 'day/night indicator', 'power-reserve indicator', 'day-of-week display', 'constant-force escapement']",It is an exceptional timepiece on both sides: the dial reflects the regulator design of high-precision scientific clocks while the movement side features an orbital moon-phase display. The model version in pink gold features an argente-coloured dial crafted from solid silver.,,b49cfeccabdf93597f518b176312da6a
384.031,https://www.alange-soehne.com/us-en/timepieces/saxonia/saxonia-moon-phase/saxonia-moon-phase-in-18-carat-pink-gold-384-031,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,,Saxonia,Saxonia Moon Phase,in 18-carat pink gold,,Dress,USD,32797.0,https://img.alange-soehne.com/product-slideshow-product-2/8c6d744c1eeb61135a8d0bdff1722fff0f7cca86.jpg,Germany,Round,['Rose Gold'],,Transparent,40 mm,20 mm,,9.8 mm,Rose Gold,['Rose Gold'],Sapphire,3 ATM,,Black,No numerals,"['Leather', 'Alligator']",['Black'],['Buckle'],Automatic,L086.5,72 hours,21600 A/h,40.0,"['Outsize date', 'moon-phase display']","Featuring the lange outsize date and a precise moon-phase display, the saxonia moon phase combines two classic complications. The model version in pink gold features a black dial crafted from solid silver.",,cfadb60eb99bd346414265c3bdb39882
424.038F,https://www.alange-soehne.com/us-en/timepieces/saxonia/triple-split/triple-split-in-18-carat-white-gold-424-038,,A. Lange & Söhne,,Saxonia,Triple Split,in 18-carat white gold,,,USD,,https://img.alange-soehne.com/product-slideshow-product-2/0d1bc5292d6f93f13123093f5430d855f305dbef.jpg,Germany,,['White Gold'],,Transparent,43.2 mm,22 mm,,15.6 mm,,,Sapphire,3 ATM,,Gray,,"['Leather', 'Alligator']",['Black'],,Manual winding,L132.1,55 hours,,,"['Chronograph', 'power-reserve indicator']","The triple split introduces a new dimension in measuring time. It is the worlds first mechanical split-seconds chronograph that allows multi-hour comparative time measurements. The white-gold model has a grey dial made of solid silver. Limited to 100 pieces, this model is available exclusively in lange boutiques.",,dd4e6e4cddac645d755ace525b7ba7c3
404.032,https://www.alange-soehne.com/us-en/timepieces/saxonia/double-split/double-split-in-18-carat-pink-gold-404-032,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,,Saxonia,Double Split,in 18-carat pink gold,,,USD,125000.0,https://img.alange-soehne.com/product-slideshow-product-2/6c14b5d411492017350f443aaa2247e56ee5f9a4.jpg,Germany,,['Rose Gold'],,Transparent,43 mm,22 mm,,15.3 mm,,,Sapphire,3 ATM,,"Silver, White",No numerals,"['Leather', 'Alligator']",['Brown'],['Buckle'],Manual winding,L001.1,38 hours,21600 A/h,40.0,"['Chronograph', 'power-reserve indicator']",The double split is the worlds first mechanical chronograph with a double-rattrapante function. The model version in pink gold features an argente-coloured dial crafted from solid silver.,,1905df7daf021d2de274cd5a8134e5c1
606.079F,https://www.alange-soehne.com/us-en/timepieces/richard-lange/richard-lange-minute-repeater/richard-lange-minute-repeater-in-950-platinum-606-079,,A. Lange & Söhne,,Richard Lange,Richard Lange Minute Repeater,in 950 platinum,,Dress,USD,,https://img.alange-soehne.com/product-slideshow-product-2/6a3ad53af4afced1f8fba3ede3faa381afef2179.jpg,Germany,Round,['Platinum'],,Transparent,39 mm,20 mm,,9.7 mm,,,Sapphire,2 ATM,,White,Roman numerals,"['Leather', 'Alligator']",['Black'],,Manual winding,L122.1,72 hours,,,['Chiming mechanism'],"The richard lange minute repeater puts the focus on one of the most sophisticated chiming functions with a minute repeater that is classic but stands out with contemporary finesse. The platinum model has a white dial made of enamelled white gold. Limited to 50 pieces, this model is available exclusively in lange boutiques.",,8713deb256aa6eeb7bcba8ea417fcf15
182.03,https://www.alange-soehne.com/us-en/timepieces/lange-1/little-lange-1-moon-phase/little-lange-1-moon-phase-in-18-carat-pink-gold-182-030,,A. Lange & Söhne,,Lange 1,Little Lange 1 Moon Phase,in 18-carat pink gold,,Dress,USD,,https://img.alange-soehne.com/product-slideshow-product-2/6947a22b6f005bd7831a74e541916478f33bf169.jpg,Germany,Round,['Rose Gold'],,Transparent,36.8 mm,19 mm,,9.5 mm,,,Sapphire,3 ATM,,"Silver, White",,"['Leather', 'Alligator']",['White'],,Manual winding,L121.2,72 hours,,,"['Outsize date', 'moon-phase display', 'power-reserve indicator']","Thanks to its dial decor, the little lange 1 moon phase is a design masterpiece and thanks to its manufacture movement also a mechanical highlight of the collection. The model version in pink gold features an argente-coloured, guilloched dial made of gold.",,4382212bcb9238c2de2d814aa4e0d695
330.026 E,https://www.alange-soehne.com/us-en/timepieces/saxonia/saxonia-annual-calendar/saxonia-annual-calendar-in-18-carat-white-gold-330-026,,A. Lange & Söhne,,Saxonia,Saxonia Annual Calendar,in 18-carat white gold,,Dress,USD,,https://img.alange-soehne.com/product-slideshow-product-2/815ee40db9820db08dea3be98e512a3c4771742d.jpg,Germany,Round,['White Gold'],,Transparent,38.5 mm,20 mm,,9.8 mm,,,Sapphire,3 ATM,,"Silver, White",,"['Leather', 'Alligator']",['Brown'],,Automatic,L085.1,46 hours,,,"['Outsize date', 'calendar function', 'moon-phase display', 'day-of-week display', 'zero reset']","The saxonia annual calendar combines the time indication and calendar functions on a harmoniously designed, easily legible dial. The model version in white gold features an argente-coloured dial crafted from solid silver.",,12fbc51247158efafe22f1e966df58dd
706.050FE,https://www.alange-soehne.com/us-en/timepieces/1815/tourbograph-perpetual-pour-le-merite/tourbograph-perpetual-pour-le-merite-in-18-carat-honey-gold-706-050,,A. Lange & Söhne,,1815,Tourbograph Perpetual Honeygold Homage To F. A. Lange,in 18-carat HONEYGOLD,Homage to F. A. Lange,,USD,,https://img.alange-soehne.com/product-slideshow-product-2/d39487f33c0f551820d1ccb38e50e9e71eb6fe4c.jpg,Germany,,['Gold'],,Transparent,43 mm,22 mm,,16.6 mm,,,Sapphire,3 ATM,,"Black, Gold, Gray, Black",,"['Leather', 'Alligator']",['Brown'],,Manual winding,L133.1,36 hours,,,"['Calendar function', 'moon-phase display', 'tourbillon', 'chronograph', 'Fusee-and-chain transmission', 'day-of-week display']","The tourbograph perpetual pour le merite combines five outstanding complications: fusee-and-chain transmission, tourbillon, rattrapante chronograph, and perpetual calendar. The model version in honeygold features a black-rhodiumed dial made of honeygold. Limited to 50 pieces, this model is available exclusively in lange boutiques.",,8ad37697daeb73938dd674ddf9e783ea
182.83,https://www.alange-soehne.com/us-en/timepieces/lange-1/little-lange-1-moon-phase/little-lange-1-moon-phase-in-18-carat-pink-gold-182-830,,A. Lange & Söhne,,Lange 1,Little Lange 1 Moon Phase,in 18-carat pink gold,,Dress,USD,,https://img.alange-soehne.com/product-slideshow-product-2/69fbab6d8b90fb75053f961296b4d48bde340567.jpg,Germany,Round,['Rose Gold'],,Transparent,36.8 mm,19 mm,,9.5 mm,,,Sapphire,3 ATM,,"Silver, White",,"['Leather', 'Alligator']",['White'],,Manual winding,L121.2,72 hours,,,"['Outsize date', 'moon-phase display', 'power-reserve indicator']","Thanks to its dial decor, the little lange 1 moon phase is a design masterpiece and thanks to its manufacture movement also a mechanical highlight of the collection. The model version in pink gold features an argente-coloured, guilloched dial made of gold.",,bc15bd4a7a7f33bd350c37485422f8af
235.026,https://www.alange-soehne.com/us-en/timepieces/1815/1815/1815-in-18-carat-white-gold-235-026,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,,1815,1815,in 18-carat white gold,,Dress,USD,31100.0,https://img.alange-soehne.com/product-slideshow-product-2/dd4f450ea345e51965dc27a803e2ce3bfbf2c3ef.jpg,Germany,Round,['White Gold'],,Transparent,38.5 mm,20 mm,,8.8 mm,White Gold,['Silver'],Sapphire,3 ATM,,"Silver, White",Arabic numerals,"['Leather', 'Alligator']",['Black'],['Buckle'],Manual winding,L051.1,55 hours,21600 A/h,23.0,['Small seconds'],"With its name, the sleek, elegant 1815 refers to the birth year of ferdinand adolph lange, the founder of the manufactory. The model version in white gold features an argente-coloured dial crafted from solid silver.",,63d2df37127a38c24c6d16165e9f9dfa
